CODDIS,NOMDIS,CODBAR,NOMBRE,CODBARRIO,area_km2,sum_c_stock,sum_c_seq
17,Villaverde,172,San Cristobal,17-2,1.0824923090945657,4373822.123018951,152203.94166665841
17,Villaverde,173,Butarque,17-3,6.375521825391743,950878.6409226186,41527.5463416415
17,Villaverde,175,Los Angeles,17-5,1.9352716623868291,4250089.843015992,165627.6116638294
17,Villaverde,174,Los Rosales,17-4,1.5407468856667397,2592879.078392053,107505.70848368846
17,Villaverde,171,"Villaverde Alto, Casco Histórico de Villaverde",17-1,9.253553667873646,3891212.117939856,154794.70275252
12,Usera,121,Orcasitas,12-1,1.356362467104513,3623689.112051097,143230.73158517713
18,Villa de Vallecas,183,Ensanche de Vallecas,18-3,6.34111782866129,1234643.5390449353,59236.06098396465
11,Carabanchel,116,Buenavista,11-6,5.613180288674905,2683543.8654737547,118789.31685650171
10,Latina,106,Cuatro Vientos,10-6,5.430118630634992,186646.04423200834,9026.248004195237
12,Usera,123,San Fermín,12-3,1.4753990535453052,1132264.81605335,48861.15120887801
18,Villa de Vallecas,181,Casco Histórico de Vallecas,18-1,43.045887731779544,1635007.5234723687,66580.9131877042
12,Usera,122,Orcasur,12-2,1.387349537377106,1540980.624889367,61123.19891250946
12,Usera,126,Zofío,12-6,0.7740254176824941,1348392.9686459794,55652.96545714618
12,Usera,127,Pradolongo,12-7,1.0956521257738083,2629109.335315448,113415.42022984888
11,Carabanchel,117,Abrantes,11-7,1.5645704024071956,5938242.209562621,238025.5723341689
11,Carabanchel,115,Puerta Bonita,11-5,1.6086255824282407,1747748.2886605395,68436.39938108761
12,Usera,124,Almendrales,12-4,0.780140841273912,985919.2641184174,38095.121415998714
18,Villa de Vallecas,182,Santa Eugenia,18-2,2.080233242127752,2443078.2204299085,96403.40364600492
11,Carabanchel,114,Vista Alegre,11-4,1.5892253528270868,1835640.4082485023,70056.31234607063
13,Puente de Vallecas,131,Entrevías,13-1,5.971941460484837,5653161.156667615,222011.80070654443
