district,green_aeaa_ZV_road_trees_AV,location,specie,performance,units
Centro,ZV,Angosta de los Mancebos,Morus alba,Poda de rebaje,1
Centro,ZV,"Atenas, parque",Aesculus hippocastanum,Poda de rebaje,4
Centro,ZV,"Atenas, parque",Gleditsia triacanthos,Poda de rebaje,10
Centro,ZV,"Atenas, parque",Robinia pseudoacacia,Poda de rebaje,5
Centro,ZV,"Atenas, parque",Sophora japonica,Poda de rebaje,23
Centro,ZV,"Atenas, parque",Ulmus pumila,Poda de rebaje,5
Centro,ZV,Puerta de Toledo,Acer negundo,Poda de rebaje,10
Centro,ZV,"Santa Bárbara, plaza",Platanus x hybrida,Poda de rebaje,9
Centro,ZV,"Santa Bárbara, plaza",Sophora japonica,Poda de rebaje,3
Centro,AV,"Alberto Aguilera, calle",Platanus x hybrida,Poda de rebaje,15
Centro,AV,"Concepción Jerónima, calle",Ulmus pumila,Poda de rebaje,2
Centro,AV,La Paloma,Platanus x hybrida,Poda de rebaje,1
Centro,AV,"Lavapiés, plaza",Ulmus pumila,Poda de rebaje,8
Centro,AV,"Ribera de Curtidores, calle",Platanus x hybrida,Poda de rebaje,115
Arganzuela,ZV,"Enrique Tierno Galván, parque",Varias especies,Poda de rebaje ,100
Arganzuela,ZV,Sebastián Herrera,Platanus x hybrida,Poda de rebaje ,12
Arganzuela,AV,"Bolívar, calle (Cobre a Circonita)",Platanus x hybrida,Poda de rebaje ,21
Arganzuela,AV,"Bustamante, calle (paseo de las Delicias - Rafael de Riego)",Platanus x hybrida,Poda de rebaje ,10
Arganzuela,AV,"Cáceres, calle (Santa María de la Cabeza y Fernando Poo)",Varias especies,Poda de rebaje ,19
Arganzuela,AV,"Cobre, calle (Granito - Bolívar)",Platanus x hybrida,Poda de rebaje ,11
Arganzuela,AV,"Delicias, paseo (Ferrocarril - Atocha)",Platanus x hybrida,Poda de rebaje ,114
Arganzuela,AV,"Embajadores, 203, calle",Ulmus pumila,Poda de rebaje ,1
Arganzuela,AV,"General Lacy, calle, c/v Canarias y General Lacy c/v Áncora",Ulmus pumila,Poda de rebaje ,2
Arganzuela,AV,"Granito, calle (Plomo - Cobre)",Platanus x hybrida,Poda de rebaje ,20
Arganzuela,AV,"José de Villarreal, calle",Varias especies,Poda de rebaje ,13
Arganzuela,AV,"Molino, paseo",Platanus x hybrida,Poda de rebaje ,17
Arganzuela,AV,"Plomo, calle (Granito - Bolívar)",Platanus x hybrida,Poda de rebaje ,10
Arganzuela,AV,"Santa María de la Cabeza, paseo",Platanus x hybrida,Poda de rebaje ,50
Arganzuela,AV,"Yeserías, impares, paseo (entre Arganda y Naves)",Varias especies,Poda de rebaje ,28
Retiro,ZV,"Martin Luther King, lateral M-30  desde Triquet a Ciudad de Barcelona",Ulmus pumila,Poda de rebaje,15
Retiro,ZV,"Roma, parque, acceso O´Donnell a Alcalde Sainz de Baranda",Varias especies,Poda de rebaje,81
Retiro,AV,"Andres Torrejón, calle (Reina Cristina - Juan Valera)",Varias especies,Poda de rebaje,24
Retiro,AV,"Angel Ganivet, calle",Platanus x hybrida,Poda de rebaje,3
Retiro,AV,"Anunciación, calle",Platanus x hybrida,Poda de rebaje,20
Retiro,AV,"Carlos y Guillermo Fernandez Shaw, calle",Platanus x hybrida,Poda de rebaje,7
Retiro,AV,"Cerro Negro, calle",Varias especies,Poda de rebaje,30
Retiro,AV,"Ciudad de Barcelona, avenida (Menéndez Pelayo y Reina Cristina, más números 47 al 53 )",Platanus x hybrida,Poda de rebaje,125
Retiro,AV,"Doce de Octubre, calle",Varias especies,Poda de rebaje,100
Retiro,AV,"Reyes Magos, plaza",Varias especies,Poda de rebaje,26
Retiro,AV,"Walia, calle",Varias especies,Poda de rebaje,8
Salamanca,ZV,"Avenidas, parque de las",Varias especies,Poda de mantenimiento / Poda de rebaje,15
Salamanca,ZV,"Brescia c/v Biarrit, zona verde",Ulmus pumila,Poda de mantenimiento / Poda de rebaje,14
Salamanca,ZV,"María Eva Duarte de Perón, parque",Ulmus pumila y Celtis sp,Poda de mantenimiento / Poda de rebaje,21
Salamanca,AV,"Ayala, calle ( Príncipe de Vergara - Serrano )",Varias especies,Poda de mantenimiento / Poda de rebaje,90
Salamanca,AV,"Conde de Peñalver, calle (Ortega y Gasset - Diego de León)",Varias especies,Poda de mantenimiento / Poda de rebaje,160
Salamanca,AV,"Don Ramón de la Cruz, calle (Príncipe de Vergara - Alcántara )",Sophora japonica,Poda de mantenimiento / Poda de rebaje,90
Salamanca,AV,"General Pardiñas, calle (Don Ramón de la Cruz - Ortega y Gasset)",Varias especies,Poda de mantenimiento / Poda de rebaje,29
Salamanca,AV,"Marques de Zafra, calle",Varias especies,Poda de mantenimiento / Poda de rebaje,93
Salamanca,AV,"Roberto Domingo, calle",Platanus x hybrida,Poda de mantenimiento / Poda de rebaje,66
Chamartín,ZV,Jardines San Fernando,Platanus x hybrida,Poda de formación,19
Chamartín,ZV,Jardines San Fernando,"Platanus x hybrida, Pinus pinea",Poda de mantenimiento,36
Chamartín,ZV,Puerto Rico 52,Ulmus pumila,Poda de rebaje,16
Chamartín,AV,"Arquitecto Gaudí, calle",Varias especies,Poda de rebaje,6
Chamartín,AV,"Cidacos, calle","Platanus x hybrida, Ulmus pumila",Poda de rebaje,13
Chamartín,AV,Clara del Rey. calle (San Nazario - Canillas),Platanus x hybrida,Poda de rebaje,82
Chamartín,AV,"Doctor Fleming, calle (Rafael Salgado - Alberto Alcocer)",Platanus x hybrida,Poda de rebaje,72
Chamartín,AV,"Gallarza, calle",,Poda de rebaje,18
Chamartín,AV,"Gómez Ortega, calle",Platanus x hybrida,Poda de rebaje,14
Chamartín,AV,"Luis Salazar, calle (Clara del Rey - Corazón de María)",Platanus x hybrida,Poda de rebaje,8
Chamartín,AV,"Manuel de Falla, calle (Doctor Fleming - Juan Ramón Jiménez)",Varias especies,Poda de rebaje,30
Chamartín,AV,"Marqués de Valdecilla, calle",Varias especies,Poda de rebaje,23
Chamartín,AV,"Padre Damián, calle (Rafael Salgado - Alberto Alcocer)",Varias especies,Poda de rebaje,100
Chamartín,AV,"Roncal, calle",Platanus x hybrida,Poda de rebaje,9
Chamartín,AV,"San Nazario, calle",Platanus x hybrida,Poda de rebaje,35
Chamartín,AV,"Velázquez, calle (Joaquín Costa - Doctor Arce)",Platanus x hybrida,Poda de rebaje,60
Tetuán,ZV,Azucenas - Fray Junipero Serra,Acer negundo,Poda de mantenimiento,6
Tetuán,ZV,Azucenas - Fray Junipero Serra,Ailanthus altissima,Poda de rebaje,1
Tetuán,ZV,Azucenas - Fray Junipero Serra,Fraxinus excelsior,Poda de mantenimiento,17
Tetuán,ZV,"Brasil, 5 - 7, avenida",Ulmus pumila,Poda de rebaje,3
Tetuán,ZV,"Huerta del Obispo, parque",Gleditsia tricanthos,Tala seco,1
Tetuán,ZV,"Huerta del Obispo, parque",Populus alba,Poda de mantenimiento,2
Tetuán,ZV,"Huerta del Obispo, parque",Ulmus pumila,Poda de rebaje,1
Tetuán,ZV,Jardines de Perón - praderas entrada túneles AZCA,Populus alba,Poda de mantenimiento,82
Tetuán,ZV,"La Remonta, plaza ",Platanus x hybrida,Poda de rebaje,3
