,neighborhood,1.5.1. Población en etapas educativas (01/01/2018),0 a 2 años,Infantil (3 a 5 años),Primaria (6 a 11 años),Secundaria (12 a 15 años),Etapas educativas. Total niños,Etapas educativas. Total niñas,No sabe leer ni escribir o sin estudios,Primaria incompleta,"Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado","Formación profesional 2º grado, Bachiller Superior o BUP","Titulados medios, diplomados, arquitecto o ingeniero técnico","Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados",Nivel de estudios desconocido y no consta,1.5.4. Programa de prevención y control del absentismo escolar
0,Palacio,1.0,0.1993801652892562,0.1725206611570248,0.3615702479338843,0.2665289256198347,0.49213011542497376,0.5078698845750262,0.028137310073157007,0.07387322862843403,0.17966951450350438,0.185041182790198,0.10288023737657953,0.4296311454443137,0.0007673811838133729,1.0
1,Embajadores,1.0,0.227880658436214,0.1934156378600823,0.37088477366255146,0.20781893004115226,0.5126598144898471,0.4873401855101529,0.04504293520686963,0.10023419203747072,0.21860525631017436,0.1835545147020557,0.08940931563882383,0.36226906062971637,0.0008847254748894093,1.0
2,Cortes,1.0,0.2761394101876676,0.2064343163538874,0.289544235924933,0.22788203753351208,0.510498687664042,0.489501312335958,0.0210352422907489,0.06167400881057269,0.1538546255506608,0.19041850220264317,0.09823788546255506,0.47455947136563875,0.00022026431718061675,0.9999999999999999
3,Justicia,1.0,0.21458046767537828,0.20220082530949107,0.35488308115543327,0.22833562585969738,0.49965588437715075,0.5003441156228493,0.016683831101956745,0.056162032269138344,0.1558530724339169,0.17782354960521798,0.09495365602471678,0.4976999656711294,0.0008238928939237899,0.9999999999999999
4,Universidad,1.0,0.22552166934189405,0.17576243980738362,0.3780096308186196,0.22070626003210272,0.511180855237348,0.48881914476265204,0.02241955014126885,0.06931347007668881,0.17843907092797123,0.18210839173668955,0.10494257512934356,0.4418596117858584,0.0009173302021795765,1.0
5,Sol,1.0,0.199203187250996,0.2350597609561753,0.3705179282868526,0.1952191235059761,0.509765625,0.490234375,0.02087616637671991,0.0662660129685276,0.19152301122884707,0.20180294164162582,0.10011070694290684,0.4186303969634667,0.0007907638779060573,1.0
6,Imperial,1.0,0.18930957683741648,0.17074981440237566,0.37193763919821826,0.2680029695619896,0.5007412898443291,0.49925871015567086,0.023904165532262454,0.08298393683637353,0.18333787095017698,0.2023958616934386,0.1255104818949088,0.38001633542063706,0.0018513476722025592,0.9999999999999999
7,Las Acacias,1.0,0.19018715225088517,0.17754172989377845,0.3798684876074861,0.25240263024785026,0.5005053057099546,0.4994946942900455,0.023955301281407874,0.0822710696242765,0.17869450299441267,0.19488775134664926,0.127270902338653,0.3905450165612767,0.002375455853323965,1.0
8,La Chopera,1.0,0.24199623352165725,0.2137476459510358,0.3314500941619586,0.2128060263653484,0.5067347886669763,0.4932652113330237,0.03637353991405919,0.1074260122253828,0.269503116867397,0.20831568117170005,0.10282636325122556,0.2745869394177813,0.0009683471524541548,1.0
9,Legazpi,1.0,0.20021528525296017,0.20129171151776104,0.37944025834230355,0.21905274488697524,0.518902123252201,0.4810978767477991,0.012378674919116612,0.04388802925868617,0.13743142495428332,0.1827964551976368,0.15030243353495568,0.47285131523421015,0.0003516669011112674,1.0
10,Las Delicias,1.0,0.1967380224260958,0.18399592252803262,0.382262996941896,0.23700305810397554,0.5041698256254739,0.49583017437452614,0.02372034956304619,0.07842049290239053,0.2082119572756277,0.1913811439404448,0.12387293660701901,0.3736533037406945,0.0007398159707772691,1.0
11,Palos de Moguer,1.0,0.20494417862838915,0.19218500797448165,0.3708133971291866,0.23205741626794257,0.5043478260869565,0.4956521739130435,0.03114283066085828,0.09185281305032904,0.2154045787376031,0.18903512837148947,0.10937065529706182,0.36249884141254984,0.0006951524701084438,1.0
12,Atocha,1.0,0.20535714285714285,0.13392857142857142,0.39285714285714285,0.26785714285714285,0.5371900826446281,0.4628099173553719,0.02214022140221402,0.07380073800738007,0.2521525215252153,0.24723247232472326,0.12546125461254612,0.27921279212792127,0.0,1.0
13,Pacífico,1.0,0.18504366812227074,0.20087336244541484,0.3722707423580786,0.2418122270742358,0.4868347338935574,0.5131652661064425,0.02213192076046731,0.07390610260503593,0.17560409259124882,0.20412161671867063,0.12807488571221246,0.3948189536318119,0.0013424279805529353,1.0
14,Adelfas,1.0,0.17736757624398075,0.20947030497592295,0.35874799357945425,0.25441412520064205,0.5047694753577107,0.49523052464228934,0.025763358778625955,0.07654034896401309,0.17727644492911668,0.1990185387131952,0.1273854961832061,0.3927208287895311,0.0012949836423118866,1.0
15,La Estrella,1.0,0.16362407031778228,0.1852603110209601,0.4090601757944557,0.2420554428668019,0.5174551386623165,0.48254486133768354,0.016272824919441462,0.05290010741138561,0.1458109559613319,0.18995703544575726,0.1343716433941998,0.4595596133190118,0.0011278195488721805,1.0
16,Ibiza,1.0,0.22045454545454546,0.19393939393939394,0.3424242424242424,0.2431818181818182,0.5089285714285714,0.49107142857142855,0.020416356024545508,0.06205195847909618,0.15908699891036301,0.18718816310145095,0.10919309514251305,0.4605723461604634,0.0014910821815679303,1.0
17,Los Jerónimos,1.0,0.21497584541062803,0.19806763285024154,0.3695652173913043,0.21739130434782608,0.5100591715976331,0.48994082840236686,0.014644351464435146,0.04375871687587169,0.14086471408647142,0.1903765690376569,0.11070432357043236,0.497907949790795,0.0017433751743375174,1.0
18,Niño Jesús,1.0,0.19644444444444445,0.19822222222222222,0.3768888888888889,0.22844444444444445,0.5098039215686274,0.49019607843137253,0.009526239686994982,0.037764735902015824,0.11805732754954495,0.17674576847835333,0.11831249468401803,0.5378072637577613,0.001786169941311559,1.0
19,Recoletos,1.0,0.22559652928416485,0.19197396963123645,0.34598698481561824,0.23644251626898047,0.5080042689434365,0.4919957310565635,0.009013320571109516,0.031107920555156737,0.11294568078487677,0.16479221504347133,0.09428092845178272,0.5867432400095717,0.0011166945840312675,1.0
20,Goya,1.0,0.22689611217335884,0.20905035054174634,0.337157425111536,0.22689611217335884,0.5125815470643057,0.4874184529356943,0.01639683656991429,0.04906629125087988,0.1434309138337957,0.17941286075110763,0.10455053620968076,0.5054863152664486,0.0016562461181731606,1.0
21,Fuente del Berro,1.0,0.20536462699077954,0.18692372170997484,0.3671416596814753,0.24056999161777032,0.49017094017094015,0.5098290598290598,0.020520549533360386,0.07141614978841807,0.178308503854849,0.19546692945336502,0.11842791722219002,0.4147005970668367,0.0011593530809808127,1.0
22,Guindalera,1.0,0.18355806872553285,0.18834275772074816,0.3875598086124402,0.2405393649412788,0.5199415326790562,0.4800584673209438,0.01824621978807001,0.056018573639719016,0.150494106441243,0.19564829146326942,0.1175735206572211,0.461037028217645,0.00098225979283248,1.0
23,Lista,1.0,0.2151793160967473,0.1884904086738949,0.347789824854045,0.24854045037531275,0.4938792739552554,0.5061207260447447,0.014640769821122853,0.04941259814628963,0.13536808548320445,0.17870004132475353,0.10366609599149891,0.5163232776433083,0.0018891315898223035,1.0
24,Castellana,1.0,0.21700879765395895,0.18866080156402737,0.35386119257087,0.2404692082111437,0.48721804511278194,0.512781954887218,0.01220956045582359,0.03803463075329288,0.1215036258694687,0.1762616545804351,0.09042474470919047,0.5594198608850082,0.002145922746781116,1.0
25,El Viso,1.0,0.19983619983619982,0.21375921375921375,0.3538083538083538,0.2325962325962326,0.5026476578411405,0.4973523421588595,0.013433962264150943,0.03366037735849057,0.12211320754716981,0.16664150943396228,0.0919245283018868,0.567622641509434,0.004603773584905661,1.0
26,Prosperidad,1.0,0.2242305813385442,0.18124084025403028,0.3717635564240352,0.22276502198339032,0.5032759039068188,0.49672409609318124,0.017017450379645666,0.0588117756760357,0.1650792593579326,0.20351005727987212,0.12291860929798855,0.4299653656587185,0.002697482349806847,1.0000000000000002
27,Ciudad Jardín,1.0,0.22439893143365983,0.20569902048085487,0.3579697239536955,0.21193232413178986,0.5100349040139616,0.4899650959860384,0.018789005444164123,0.06101447350949409,0.17368211392909308,0.19506041694330103,0.11280042491037047,0.43546673748506176,0.0031868277785154693,1.0
28,Hispanoamérica,1.0,0.17959527824620575,0.2069983136593592,0.37647554806070826,0.23693086003372682,0.5011566771819138,0.49884332281808624,0.01250355214549588,0.04124548370072667,0.12442658222709374,0.17695773961758615,0.11155766654487882,0.5303454715219421,0.0029635042422766207,1.0
29,Nueva España,1.0,0.18286814244465832,0.20211742059672763,0.3864292589027912,0.2285851780558229,0.5107134447845538,0.4892865552154462,0.009611729568286723,0.029649742058104805,0.10627206081998371,0.16149877816997013,0.10198207982622862,0.5891392886234048,0.0018463209340211784,1.0
30,Castilla,1.0,0.18654708520179372,0.19103139013452916,0.3820627802690583,0.24035874439461882,0.5113935144609991,0.4886064855390009,0.01699158006523553,0.04907835849199727,0.12561632405370554,0.1758325115679284,0.11575513919441706,0.5146779943867101,0.0020480922400060685,0.9999999999999999
31,Bellas Vistas,1.0,0.2205005959475566,0.1936829558998808,0.3712753277711561,0.21454112038140644,0.518369690011481,0.48163030998851897,0.03556169349618057,0.11182081049587847,0.2951965819343144,0.18725993699020327,0.09080315912131544,0.2778041517414009,0.0015536662207069182,1.0
32,Cuatro Caminos,1.0,0.21892497200447927,0.19092945128779396,0.341545352743561,0.24860022396416573,0.5196342119419043,0.48036578805809577,0.02307257437636916,0.06685039926506961,0.19549855133912797,0.17313264080277013,0.1022189244576355,0.43636492120698184,0.0028619885520457917,1.0
33,Castillejos,1.0,0.24407826982492276,0.19258496395468588,0.364572605561277,0.19876416065911431,0.5159521435692921,0.48404785643070786,0.020681194134486183,0.06654203423497108,0.1857802184962318,0.17999649471285856,0.10556756440965122,0.4399719577028685,0.00146053630893264,1.0
34,Almenara,1.0,0.2161361954108068,0.17912657290895634,0.3360473723168024,0.2686898593634345,0.5072939460247994,0.49270605397520056,0.06654034774855105,0.15241863575568435,0.29358002674988853,0.16952741863575568,0.08169861792242532,0.23562193490860456,0.0006130182790905038,1.0
35,Valdeacederas,1.0,0.22582582582582583,0.2048048048048048,0.3483483483483483,0.22102102102102103,0.5120164126611958,0.4879835873388042,0.0532419867873746,0.1309028627355028,0.3225838022999755,0.18698311720088084,0.08412038169806704,0.2209933936873012,0.0011744555908979693,1.0
36,Berruguete,1.0,0.2049492385786802,0.20748730964467005,0.35596446700507617,0.2315989847715736,0.4993646759847522,0.5006353240152478,0.03919173410698835,0.12363210668295414,0.3150099251794167,0.19351554944775284,0.08764696900290121,0.2395785616124599,0.001425153967526849,1.0000000000000002
37,Gaztambide,1.0,0.21028466483011937,0.19834710743801653,0.34710743801652894,0.24426078971533516,0.5002294630564479,0.4997705369435521,0.018373398284443503,0.05856189770200148,0.15440008471883934,0.16938472942920682,0.10372762893148364,0.49412263051996186,0.0014296304140633273,1.0
38,Arapiles,1.0,0.22655007949125597,0.1987281399046105,0.34737678855325915,0.2273449920508744,0.5187452180566182,0.4812547819433818,0.020054010802160432,0.06481296259251851,0.16408281656331267,0.1741348269653931,0.10117023404680936,0.4743948789757952,0.0013502700540108021,1.0000000000000002
39,Trafalgar,1.0,0.1996779388083736,0.19243156199677938,0.3864734299516908,0.2214170692431562,0.515600624024961,0.484399375975039,0.01788856304985337,0.06050830889540567,0.15234604105571847,0.1699902248289345,0.10273704789833822,0.4950146627565982,0.0015151515151515152,1.0
40,Almagro,1.0,0.2102076124567474,0.185121107266436,0.35899653979238755,0.24567474048442905,0.5015092712376024,0.4984907287623976,0.013010800227373208,0.043895660961283396,0.14709783363860293,0.16156129602728478,0.10591801932672266,0.5260531800669488,0.002463209751784248,1.0
41,Ríos Rosas,1.0,0.22945638432364096,0.17699115044247787,0.37737041719342607,0.21618204804045513,0.49825562955915004,0.50174437044085,0.01732706514439221,0.05354824266845758,0.15374972017013655,0.16480859637340498,0.10132079695545108,0.5081710320125363,0.0010745466756212224,1.0
42,Vallehermoso,1.0,0.18608695652173912,0.16260869565217392,0.4043478260869565,0.24695652173913044,0.506225848003435,0.49377415199656505,0.010562515352493244,0.04102186195038074,0.12527634487840825,0.17114959469417834,0.1126258904446082,0.537828543355441,0.0015352493244902973,1.0
43,El Pardo,1.0,0.21875,0.21875,0.34375,0.21875,0.5282555282555282,0.47174447174447176,0.0537862703467799,0.14472753007784855,0.3011323425336164,0.2438075017692852,0.0835102618542109,0.173036093418259,0.0,0.9999999999999999
44,Fuentelarreina,1.0,0.12177121771217712,0.1881918819188192,0.4059040590405904,0.28413284132841327,0.5117117117117117,0.4882882882882883,0.013063632532659082,0.03581963758954909,0.11420143278550358,0.16982722292456806,0.0965023177412558,0.5693215339233039,0.0012642225031605564,1.0
