,neighborhood,Superficie (Ha.) ,Densidad (hab./Ha.) 
0,Palacio,146.99,155.95
1,Embajadores,103.37,437.82
2,Cortes,59.19,177.13
3,Justicia,73.94,231.98
4,Universidad,94.8,334.64
5,Sol,44.53,164.77
6,Imperial,96.77,235.26
7,Las Acacias,107.34,342.68
8,La Chopera,56.78,352.12
9,Legazpi,141.45,138.94
10,Las Delicias,105.47,262.24
11,Palos de Moguer,64.84,397.89
12,Atocha,73.57,15.97
13,Pacífico,75.83,442.7429688149781
14,Adelfas,64.08,288.3007460094144
15,La Estrella,102.55,227.25937123102315
16,Ibiza,49.2,439.98737176381337
17,Los Jerónimos,190.64,36.92303261563017
18,Niño Jesús,64.33,238.51177694237046
19,Recoletos,87.31,180.2
20,Goya,77.03,384.91
21,Fuente del Berro,85.26,247.15
22,Guindalera,160.28,259.6
23,Lista,52.02,402.93
24,Castellana,77.34,221.42
25,El Viso,170.92,101.23
26,Prosperidad,104.01,352.39
27,Ciudad Jardín,76.23,244.55
28,Hispanoamérica,171.25,185.3
29,Nueva España,179.01,137.74
30,Castilla,216.13,78.1
31,Bellas Vistas,71.52,407.54
32,Cuatro Caminos,118.5,292.04
33,Castillejos,70.47,291.1
34,Almenara,99.94,226.56
35,Valdeacederas,116.34,223.66
36,Berruguete,60.71,411.93
37,Gaztambide,50.65,451.96
38,Arapiles,57.82,422.93
39,Trafalgar,61.19,403.61
40,Almagro,93.79,211.18
41,Ríos Rosas,97.54,280.72
42,Vallehermoso,106.92,189.08
43,El Pardo,18758.34,0.1841314541848564
44,Fuentelarreina,138.26,23.61418176937694
45,Peñagrande,288.73,154.15245867939942
46,Del Pilar,136.32,340.5119920844108
47,La Paz,215.48,156.69995643345356
48,Valverde,898.12,70.37010637476874
49,Mirasierra,699.28,47.04556166169665
50,El Goloso,2649.31,6.987105581041096
51,Casa de Campo,1746.06,7.440172089235748
52,Argüelles,75.75,318.04632052687845
53,Ciudad Universitaria,1425.09,11.41
54,Valdezarza,139.75,212.68654048053952
55,Valdemarín,330.25,20.37
56,El Plantío,352.82,7.958790001389681
57,Aravaca,583.4,45.98
58,Los Cármenes,129.2,134.65182246243293
59,Puerta del Ángel,137.53,303.4252385757392
60,Lucero,167.9,214.9499829936093
61,Aluche,284.98,232.82605153199577
62,Campamento,919.14,20.97726365073494
63,Cuatro Vientos,543.01,10.58540407750991
64,Las Águilas,360.96,142.8328909979958
65,Comillas,66.61,336.3328030152531
66,Opañel,110.73,298.486494488423
67,San Isidro,189.93,205.10897320679467
68,Vista Alegre,158.92,289.2918880035438
69,Puerta Bonita,160.86,216.70673636485643
70,Buenavista,561.32,83.82948281952326
71,Abrantes,156.46,196.46926633618483
72,Orcasitas,135.64,168.36944527242588
73,Orcasur,138.73,99.52791031345062
74,San Fermín,147.54,160.40406128539541
75,Almendrales,78.01,274.8093491914865
76,Moscardó,90.88,289.9798575576213
77,Zofío,77.4,180.45919173471535
78,Pradolongo,109.57,159.08334032364218
79,Entrevías,597.19,58.10170781145734
80,San Diego,106.99,389.43107639618705
81,Palomeras Bajas,172.39,232.99918559953673
82,Palomeras Sureste,310.86,137.01998703546803
83,Portazgo,124.53,227.6632145889491
84,Numancia,184.91,255.79355367451248
85,Pavones,100.97,90.496511917237
86,Horcajo,74.59,84.9123218776134
87,Marroquina,179.01,152.28617917874993
88,Media Legua,99.9,178.89465424487787
89,Fontarrón,96.46,177.6847021206941
90,Vinateros,59.4,283.98391432916554
91,Ventas,319.8,150.40171978259912
92,Pueblo Nuevo,231.92,267.8102253354986
93,Quintana,72.31,340.4979117685189
94,La Concepción,88.59,235.41875146035625
95,San Pascual,105.27,172.2197774331921
96,San Juan Bautista,101.08,123.53040934352794
97,Colina,55.97,114.114845499522
98,Atalaya,24.89,63.001525360691
99,Costillares,142.72,154.21301455509527
100,Palomas,112.98,60.10074842812032
101,Piovera,313.96,47.49256769668543
102,Canillas,252.25,160.86363652518668
103,Pinar del Rey,266.48,197.73214419720122
104,Apóstol Santiago,120.51,127.94277333548968
105,Valdefuentes,1675.8,34.538136649573346
106,"Villaverde Alto, C.H. Villaverde",925.36,48.85042195889644
107,San Cristóbal,108.25,148.28742768145716
108,Butarque,637.55,29.597577313405424
109,Los Rosales,154.07,243.95311439170257
110,Los Ángeles,193.53,161.06265862369347
111,Casco Histórico de Vallecas,4304.59,9.357455981381904
112,Santa Eugenia,208.02,116.94842390994258
113,Ensanche de Vallecas,634.11,72.27116921283573
114,Casco Histórico de Vicálvaro,2149.42,16.197820930765175
115,Valdebernardo,255.51,69.03131122377167
116,Valderrivas,64.32,282.0723889929952
117,El Cañaveral,1057.43,1.4469109233597195
118,Simancas,227.63,122.64411246136461
119,Hellín,55.06,166.32292351468897
120,Amposta,37.03,231.60009420997267
121,Arcos,130.52,185.49728415423812
122,Rosas,929.65,34.07411062539783
123,Rejas,501.57,33.28128254253835
124,Canillejas,159.77,178.90648097544914
125,El Salvador,188.01,60.3741188191792
126,Alameda de Osuna,197.03,99.0999096332657
127,Aeropuerto,2962.61,0.6247873669873243
128,Casco Histórico de Barajas,54.94,137.69717388954996
129,Timón,509.45,24.31658217548186
130,Corralejos,468.25,16.320210088269988
