,district,Sexo de la población,Hombres,Mujeres,De 0 a 14 años,De 15 a 29,De 30 a 44,De 45 a 64,De 65 a 79,De 80 y + ,De 65 y +,Población en etapa educativa (De 3 a 16 años -16 no incluidos-),Personas con nacionalidad española,Personas con nacionalidad española HOMBRES,Personas con nacionalidad española MUJERES,Personas con nacionalidad extranjera,Personas con nacionalidad extranjera HOMBRES,Personas con nacionalidad extranjera MUJERES,1ª nacionalidad extranjera en el Distrito: ITALIA (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: BANGLADESH (% respecto total extranjeros del distrito),Nº total de hogares,Hogares con una mujer sola >65 años,Hogares con un hombre solo >65 años,Hogares monoparentales: una mujer adulta con uno o más menores,Hogares monoparentales: un hombre adulto con uno o más menores,1ª nacionalidad extranjera en el Distrito: Italia (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: China (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Venezuela (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: Filipinas (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Paraguay (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: Rumanía (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: China (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Rumanía  (% respecto total extranjeros del distrito),Proporción de juventud (Población de 0-15 años/Población total),Proporción de envejecimiento (Población > 65 años/Población total),Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años),2ª nacionalidad extranjera en el Distrito: Bolivia (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Perú (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Ecuador (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: Francia (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: Rumanía  (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Marruecos  (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Marruecos (% respecto total extranjeros del distrito)
0,CENTRO,134881.0,67829.0,67052.0,10554.0,21800.0,42857.0,38025.0,14196.0,7449.0,21645.0,8659.0,104041.0,51264.0,52777.0,30837.0,16564.0,14273.0,3194.0,2935.0,67296.0,5117.0,2171.0,922.0,194.0,,,,,,,,,,,,,,,,,,
1,ARGANZUELA,153830.0,71631.0,82199.0,18187.0,22294.0,38224.0,45479.0,19685.0,9961.0,29646.0,15467.0,138533.0,64425.0,74108.0,15295.0,7205.0,8090.0,,,65005.0,6008.0,1722.0,1107.0,232.0,1301.0,1353.0,,,,,,,,,,,,,,,,
2,RETIRO,119379.0,54098.0,65281.0,14096.0,16416.0,25001.0,33118.0,20322.0,10426.0,30748.0,12122.0,110114.0,50211.0,59903.0,9265.0,3887.0,5378.0,,,48673.0,5537.0,1508.0,737.0,187.0,902.0,,742.0,,,,,,,,,,,,,,,
3,SALAMANCA,146148.0,64395.0,81753.0,15569.0,23762.0,32789.0,39115.0,21888.0,13025.0,34913.0,13119.0,126773.0,56225.0,70548.0,19375.0,8170.0,11205.0,,,62951.0,7213.0,2108.0,900.0,220.0,1997.0,,1751.0,,,,,,,,,,,,,,,
4,CHAMARTÍN,145865.0,65565.0,80300.0,18986.0,21628.0,31956.0,39339.0,21813.0,12143.0,33956.0,16107.0,132067.0,60057.0,72010.0,13798.0,5508.0,8290.0,,,58240.0,6473.0,1842.0,942.0,253.0,1157.0,,1032.0,,,,,,,,,,,,,,,
5,TETUÁN,157937.0,71632.0,86305.0,17399.0,26587.0,40965.0,42460.0,18801.0,11725.0,30526.0,14487.0,127859.0,58540.0,69319.0,30078.0,13092.0,16986.0,,,66428.0,6648.0,2002.0,1018.0,230.0,,,,1396.0,3332.0,,,,,,,,,,,,,
6,CHAMBERÍ,139448.0,61308.0,78140.0,14262.0,22708.0,32510.0,36244.0,21375.0,12349.0,33724.0,11958.0,123626.0,54532.0,69094.0,15822.0,6776.0,9046.0,,,62013.0,7457.0,2071.0,898.0,186.0,1743.0,,990.0,,,,,,,,,,,,,,,
7,FUENCARRAL-EL PARDO,246021.0,115797.0,130224.0,41951.0,33442.0,56190.0,63266.0,35876.0,15296.0,51172.0,36121.0,225139.0,106781.0,118358.0,20882.0,9016.0,11866.0,,,90495.0,7636.0,2239.0,2494.0,675.0,,1773.0,,,,1819.0,,,,,,,,,,,,
8,MONCLOA-ARAVACA,119423.0,54934.0,64489.0,16148.0,19871.0,23762.0,33485.0,17033.0,9124.0,26157.0,14384.0,106886.0,49700.0,57186.0,12535.0,5234.0,7301.0,,,45650.0,4546.0,1408.0,970.0,246.0,,,,,,,1005.0,983.0,,,,,,,,,,
9,LATINA,238154.0,110401.0,127753.0,27693.0,35815.0,49876.0,65741.0,37628.0,21401.0,59029.0,24359.0,200981.0,93405.0,107576.0,37169.0,16992.0,20177.0,,,95217.0,11033.0,3128.0,1788.0,305.0,,,,,,,2609.0,4889.0,,,,,,,,,,
