,neighborhood,Paro registrado (nº de personas registradas en SEPE en febrero 2020),Tasa absoluta de paro registrado (febrero 2020),Tasa absoluta de paro registrado MUJERES,De 16 a 24 años,De 25 a 44 años,De 45 a 64 años,Tasa absoluta de paro registrado HOMBRES 
0,Palacio,0.16260697827518103,0.0741,0.069,0.0349,0.0632,0.1061,0.0789
1,Embajadores,0.35602369980250165,0.0769,0.0821,0.0342,0.0546,0.1114,0.0726
2,Cortes,0.07017774851876234,0.0682,0.0698,0.0163,0.0557,0.0917,0.0667
3,Justicia,0.10862409479921001,0.0625,0.06,0.0307,0.0486,0.0932,0.0647
4,Universidad,0.21053324555628702,0.0651,0.0668,0.0293,0.0479,0.0966,0.0634
5,Sol,0.04845292955892034,0.0655,0.0656,0.0129,0.0523,0.0966,0.0654
6,Imperial,0.13731255513084387,0.0639,0.0694,0.0376,0.0537,0.0677,0.0579
7,Las Acacias,0.22640399882387532,0.0657,0.0694,0.0293,0.0584,0.0749,0.0616
8,La Chopera,0.13863569538371068,0.0725,0.0751,0.0567,0.0527,0.0941,0.0697
9,Legazpi,0.09997059688326963,0.05,0.583,0.0317,0.0393,0.0457,0.0411
10,Las Delicias,0.16157012643340193,0.0586,0.0615,0.0219,0.0506,0.07,0.0555
11,Palos de Moguer,0.18082916789179654,0.0701,0.0696,0.0352,0.0547,0.1001,0.0706
12,Atocha,0.0116142311084975,0.0913,0.0845,0.0595,0.1114,0.1019,0.0982
13,Pacífico,0.3109592384671711,0.0613,0.0613,0.0214,0.0611,0.0729,0.0614
14,Adelfas,0.17525018306077617,0.0617,0.0684,0.0321,0.0469,0.0679,0.0541
15,La Estrella,0.1527947278496461,0.0499,0.0562,0.011,0.04275,0.0536,0.043
16,Ibiza,0.1828166951427874,0.0567,0.0593,0.0128,0.045,0.074,0.0538
17,Los Jerónimos,0.04149377593360996,0.0409,0.0462,0.0178,0.0221,0.0505,0.0352
18,Niño Jesús,0.08860141567000245,0.0423,0.046,0.0051,0.0387,0.0484,0.038
19,Recoletos,0.06847572609709561,0.0331,0.0378,0.0037,0.0263,0.0363,0.0276
20,Goya,0.1878312486750053,0.04769999999999999,0.0526,0.0176,0.0359,0.0554,0.0415
21,Fuente del Berro,0.1668433326266695,0.0604,0.064,0.0342,0.043899999999999995,0.0765,0.055999999999999994
22,Guindalera,0.30591477634089465,0.0556,0.0592,0.0321,0.04190000000000001,0.0702,0.051699999999999996
23,Lista,0.1346194615221539,0.0483,0.052000000000000005,0.011399999999999999,0.036699999999999997,0.0638,0.0438
24,Castellana,0.08140767436930252,0.036000000000000004,0.0378,0.011899999999999999,0.025,0.053200000000000004,0.0338
25,El Viso,0.07253659602359624,0.030600000000000002,0.0313,0.0068000000000000005,0.0252,0.042800000000000005,0.0297
26,Prosperidad,0.30391085864103123,0.061200000000000004,0.0667,0.0187,0.0408,0.08259999999999999,0.054900000000000004
27,Ciudad Jardín,0.15424950841162333,0.059800000000000006,0.060599999999999994,0.0274,0.0404,0.08900000000000001,0.059000000000000004
28,Hispanoamérica,0.18527419707231813,0.045,0.048499999999999995,0.006999999999999999,0.0333,0.059500000000000004,0.040999999999999995
29,Nueva España,0.12431723836574175,0.0378,0.042,0.0086,0.027999999999999997,0.045899999999999996,0.032799999999999996
30,Castilla,0.12388027091981647,0.053399999999999996,0.0587,0.0139,0.031400000000000004,0.0766,0.047599999999999996
31,Bellas Vistas,0.1761259611863786,0.071,0.0741,0.0264,0.0547,0.1007,0.0675
32,Cuatro Caminos,0.1530574880995972,0.0547,0.0588,0.016,0.0387,0.0762,0.05
33,Castillejos,0.08922250701818625,0.0542,0.056799999999999996,0.025699999999999997,0.0401,0.0739,0.0512
34,Almenara,0.19919443427316003,0.1063,0.1128,0.08529999999999999,0.0711,0.1387,0.0992
35,Valdeacederas,0.18222873184425728,0.0796,0.08289999999999999,0.0489,0.0613,0.1045,0.076
36,Berruguete,0.16684974978640302,0.0765,0.0791,0.0421,0.053200000000000004,0.113,0.0735
37,Gaztambide,0.1697019867549669,0.058600000000000006,0.0608,0.0199,0.0541,0.0708,0.055999999999999994
38,Arapiles,0.1740480132450331,0.056299999999999996,0.061,0.024,0.044800000000000006,0.0696,0.051
39,Trafalgar,0.18418874172185432,0.056299999999999996,0.058899999999999994,0.0229,0.0436,0.0756,0.0533
40,Almagro,0.1005794701986755,0.0412,0.0433,0.0207,0.0296,0.0541,0.0387
41,Ríos Rosas,0.1806705298013245,0.0527,0.0567,0.024399999999999998,0.038,0.0684,0.048
42,Vallehermoso,0.1072019867549669,0.0452,0.048,0.0032,0.0361,0.0603,0.0418
43,El Pardo,0.01564071053513574,0.0659,0.0886,0.0248,0.0315,0.0705,0.046900000000000004
