,neighborhood,Asociaciones (Sección 1ª),Nº de asociaciones culturales y casas regionales,Nº de asociaciones de mujeres,Nº de asociaciones de vecinos,Fundaciones (Sección 2ª)
0,Palacio,0.19202898550724637,0.23232323232323232,0.16666666666666666,0.17647058823529413,0.0
1,Embajadores,0.2971014492753623,0.25252525252525254,0.25,0.5882352941176471,0.0
2,Cortes,0.09057971014492754,0.06060606060606061,0.08333333333333333,0.0,0.0
3,Justicia,0.11956521739130435,0.1111111111111111,0.3333333333333333,0.058823529411764705,1.0
4,Universidad,0.12681159420289856,0.1111111111111111,0.08333333333333333,0.11764705882352941,0.0
5,Sol,0.17391304347826086,0.23232323232323232,0.08333333333333333,0.058823529411764705,0.0
6,Imperial,0.1415929203539823,0.047619047619047616,1.0,0.375,0.0
7,Las Acacias,0.22123893805309736,0.2857142857142857,0.0,0.0,0.5
8,La Chopera,0.12389380530973451,0.23809523809523808,0.0,0.0,0.0
9,Legazpi,0.10619469026548672,0.0,0.0,0.375,0.5
10,Las Delicias,0.17699115044247787,0.3333333333333333,0.0,0.125,0.0
11,Palos de Moguer,0.22123893805309736,0.09523809523809523,0.0,0.125,0.0
12,Atocha,0.008849557522123894,0.0,0.0,0.0,0.0
13,Pacífico,0.23863636363636365,0.17391304347826086,0.6666666666666666,0.16666666666666666,0.0
14,Adelfas,0.17045454545454544,0.2608695652173913,0.0,0.16666666666666666,0.0
15,La Estrella,0.14772727272727273,0.17391304347826086,0.0,0.3333333333333333,0.0
16,Ibiza,0.14772727272727273,0.17391304347826086,0.0,0.16666666666666666,1.0
17,Los Jerónimos,0.18181818181818182,0.043478260869565216,0.3333333333333333,0.16666666666666666,0.0
18,Niño Jesús,0.11363636363636363,0.17391304347826086,0.0,0.0,0.0
19,Recoletos,0.17142857142857143,0.07142857142857142,0.5,0.0,0.0
20,Goya,0.09523809523809523,0.07142857142857142,0.5,0.25,0.0
21,Fuente del Berro,0.1523809523809524,0.14285714285714285,0.0,0.0,0.0
22,Guindalera,0.3047619047619048,0.35714285714285715,0.0,0.5,1.0
23,Lista,0.12380952380952381,0.21428571428571427,0.0,0.25,0.0
24,Castellana,0.1523809523809524,0.14285714285714285,0.0,0.0,0.0
25,El Viso,0.1411764705882353,0.23076923076923078,0.0,0.1,0.0
26,Prosperidad,0.24705882352941178,0.23076923076923078,0.0,0.1,0.0
27,Ciudad Jardín,0.2,0.15384615384615385,0.5,0.3,0.25
28,Hispanoamérica,0.2,0.07692307692307693,0.5,0.3,0.0
29,Nueva España,0.1411764705882353,0.3076923076923077,0.0,0.0,0.5
30,Castilla,0.07058823529411765,0.0,0.0,0.2,0.25
31,Bellas Vistas,0.1574074074074074,0.26666666666666666,0.0,0.0,0.0
32,Cuatro Caminos,0.21296296296296297,0.4666666666666667,0.0,0.125,0.0
33,Castillejos,0.1574074074074074,0.06666666666666667,0.3333333333333333,0.375,0.0
34,Almenara,0.23148148148148148,0.06666666666666667,0.3333333333333333,0.25,1.0
35,Valdeacederas,0.1388888888888889,0.06666666666666667,0.3333333333333333,0.125,0.0
36,Berruguete,0.10185185185185185,0.06666666666666667,0.0,0.125,0.0
37,Gaztambide,0.13178294573643412,0.1111111111111111,0.09090909090909091,0.1111111111111111,1.0
38,Arapiles,0.20155038759689922,0.25925925925925924,0.09090909090909091,0.5555555555555556,0.0
39,Trafalgar,0.20155038759689922,0.14814814814814814,0.6363636363636364,0.1111111111111111,0.0
40,Almagro,0.20930232558139536,0.25925925925925924,0.09090909090909091,0.0,0.0
41,Ríos Rosas,0.12403100775193798,0.18518518518518517,0.0,0.1111111111111111,0.0
42,Vallehermoso,0.13178294573643412,0.037037037037037035,0.09090909090909091,0.1111111111111111,0.0
43,El Pardo,0.04516129032258064,0.034482758620689655,0.25,0.2,0.0
44,Fuentelarreina,0.0064516129032258064,0.0,0.0,0.05,0.0
45,Peñagrande,0.18064516129032257,0.13793103448275862,0.25,0.15,0.0
46,Del Pilar,0.25161290322580643,0.3103448275862069,0.25,0.15,0.0
47,La Paz,0.14193548387096774,0.1724137931034483,0.25,0.0,0.0
48,Valverde,0.24516129032258063,0.2413793103448276,0.0,0.35,0.0
49,Mirasierra,0.09032258064516129,0.06896551724137931,0.0,0.05,0.0
50,El Goloso,0.03870967741935484,0.034482758620689655,0.0,0.05,0.0
51,Casa de Campo,0.14583333333333334,0.29411764705882354,0.0,0.2,0.0
52,Argüelles,0.20833333333333334,0.23529411764705882,0.6666666666666666,0.0,1.0
53,Ciudad Universitaria,0.16666666666666666,0.11764705882352941,0.0,0.0,0.0
54,Valdezarza,0.2916666666666667,0.17647058823529413,0.3333333333333333,0.6,0.0
55,Valdemarín,0.010416666666666666,0.0,0.0,0.0,0.0
56,El Plantío,0.010416666666666666,0.0,0.0,0.1,0.0
57,Aravaca,0.16666666666666666,0.17647058823529413,0.0,0.1,0.0
58,Los Cármenes,0.06289308176100629,0.0,0.0,0.16666666666666666,0.0
59,Puerta del Ángel,0.14465408805031446,0.13793103448275862,0.0,0.16666666666666666,0.0
60,Lucero,0.11320754716981132,0.10344827586206896,0.3333333333333333,0.05555555555555555,0.0
61,Aluche,0.3333333333333333,0.41379310344827586,0.0,0.16666666666666666,0.0
62,Campamento,0.1069182389937107,0.10344827586206896,0.0,0.2777777777777778,0.0
63,Cuatro Vientos,0.0,0.0,0.0,0.0,0.0
64,Las Águilas,0.23270440251572327,0.2413793103448276,0.6666666666666666,0.16666666666666666,0.0
65,Comillas,0.08088235294117647,0.16129032258064516,0.125,0.07692307692307693,0.0
66,Opañel,0.11764705882352941,0.0967741935483871,0.375,0.0,0.0
67,San Isidro,0.2426470588235294,0.22580645161290322,0.375,0.3076923076923077,0.0
68,Vista Alegre,0.11764705882352941,0.06451612903225806,0.0,0.23076923076923078,0.0
69,Puerta Bonita,0.11764705882352941,0.03225806451612903,0.0,0.15384615384615385,0.0
70,Buenavista,0.16176470588235295,0.16129032258064516,0.125,0.15384615384615385,0.0
71,Abrantes,0.16176470588235295,0.25806451612903225,0.0,0.07692307692307693,0.0
72,Orcasitas,0.168141592920354,0.15384615384615385,0.6666666666666666,0.16666666666666666,0.5
73,Orcasur,0.13274336283185842,0.07692307692307693,0.3333333333333333,0.16666666666666666,0.5
74,San Fermín,0.11504424778761062,0.23076923076923078,0.0,0.08333333333333333,0.0
75,Almendrales,0.1592920353982301,0.15384615384615385,0.0,0.3333333333333333,0.0
76,Moscardó,0.168141592920354,0.07692307692307693,0.0,0.08333333333333333,0.0
77,Zofío,0.1592920353982301,0.15384615384615385,0.0,0.08333333333333333,0.0
78,Pradolongo,0.09734513274336283,0.15384615384615385,0.0,0.08333333333333333,0.0
79,Entrevías,0.16483516483516483,0.1282051282051282,0.25,0.13636363636363635,0.0
80,San Diego,0.14285714285714285,0.07692307692307693,0.5,0.13636363636363635,0.0
81,Palomeras Bajas,0.1978021978021978,0.1794871794871795,0.25,0.13636363636363635,0.0
82,Palomeras Sureste,0.23626373626373626,0.3333333333333333,0.0,0.3181818181818182,1.0
83,Portazgo,0.12087912087912088,0.1794871794871795,0.0,0.22727272727272727,0.0
84,Numancia,0.13736263736263737,0.10256410256410256,0.0,0.045454545454545456,0.0
85,Pavones,0.17647058823529413,0.13333333333333333,0.0,0.0,0.0
86,Horcajo,0.014705882352941176,0.0,0.0,0.0,0.0
87,Marroquina,0.27941176470588236,0.2,0.0,0.0,0.0
88,Media Legua,0.17647058823529413,0.26666666666666666,0.0,0.0,0.0
89,Fontarrón,0.23529411764705882,0.26666666666666666,0.0,0.0,1.0
90,Vinateros,0.11764705882352941,0.13333333333333333,0.0,0.0,0.0
91,Ventas,0.256,0.2222222222222222,0.5,0.16666666666666666,0.0
92,Pueblo Nuevo,0.232,0.2222222222222222,0.0,0.0,0.0
93,Quintana,0.144,0.1111111111111111,0.0,0.16666666666666666,0.0
94,La Concepción,0.144,0.2777777777777778,0.5,0.16666666666666666,1.0
95,San Pascual,0.12,0.1111111111111111,0.0,0.16666666666666666,0.0
96,San Juan Bautista,0.04,0.0,0.0,0.16666666666666666,0.0
97,Colina,0.024,0.0,0.0,0.0,0.0
98,Atalaya,0.024,0.0,0.0,0.0,0.0
99,Costillares,0.024,0.0,0.0,0.0,0.0
100,Palomas,0.031578947368421054,0.0,0.0,0.0,0.0
101,Piovera,0.021052631578947368,0.0,0.0,0.0,0.0
102,Canillas,0.2,0.0625,0.25,0.16666666666666666,1.0
103,Pinar del Rey,0.45263157894736844,0.875,0.5,0.4166666666666667,0.0
104,Apóstol Santiago,0.14736842105263157,0.0625,0.0,0.16666666666666666,0.0
105,Valdefuentes,0.14736842105263157,0.0,0.25,0.25,0.0
106,"Villaverde Alto, C.H. Villaverde",0.42727272727272725,0.5238095238095238,0.25,0.25,1.0
107,San Cristóbal,0.07272727272727272,0.0,0.0,0.08333333333333333,0.0
108,Butarque,0.12727272727272726,0.047619047619047616,0.0,0.16666666666666666,0.0
109,Los Rosales,0.15454545454545454,0.19047619047619047,0.25,0.16666666666666666,0.0
110,Los Ángeles,0.21818181818181817,0.23809523809523808,0.5,0.3333333333333333,0.0
111,Casco Histórico de Vallecas,0.5540540540540541,0.5714285714285714,1.0,0.14285714285714285,1.0
112,Santa Eugenia,0.28378378378378377,0.35714285714285715,0.0,0.7142857142857143,0.0
113,Ensanche de Vallecas,0.16216216216216217,0.07142857142857142,0.0,0.14285714285714285,0.0
114,Casco Histórico de Vicálvaro,0.6041666666666666,0.375,0.0,0.75,0.0
115,Valdebernardo,0.25,0.5,0.0,0.25,0.0
116,Valderrivas,0.14583333333333334,0.125,0.0,0.0,0.0
117,El Cañaveral,0.0,0.0,0.0,0.0,0.0
118,Simancas,0.18627450980392157,0.2222222222222222,0.0,0.0625,0.0
119,Hellín,0.08823529411764706,0.0,0.0,0.125,0.0
120,Amposta,0.08823529411764706,0.16666666666666666,0.0,0.0,0.0
121,Arcos,0.12745098039215685,0.1111111111111111,0.0,0.0625,1.0
122,Rosas,0.16666666666666666,0.2777777777777778,0.0,0.125,0.0
123,Rejas,0.08823529411764706,0.0,0.0,0.3125,0.0
124,Canillejas,0.19607843137254902,0.16666666666666666,1.0,0.1875,0.0
125,El Salvador,0.19607843137254902,0.16666666666666666,1.0,0.1875,0.0
126,Alameda de Osuna,0.5111111111111111,0.8888888888888888,1.0,0.2857142857142857,0.0
127,Aeropuerto,0.08888888888888889,0.0,0.0,0.14285714285714285,0.0
128,Casco Histórico de Barajas,0.022222222222222223,0.0,0.0,0.0,0.0
129,Timón,0.2222222222222222,0.1111111111111111,0.0,0.2857142857142857,0.0
130,Corralejos,0.15555555555555556,0.0,0.0,0.2857142857142857,0.0
