district,growth_decrease_gross _income_pro_capita2016-2008
CENTRO,2508.8281216469295
ARGANZUELA,2700.7125355493554
RETIRO,1424.3037054622291
SALAMANCA,-123.28799664609323
CHAMARTÍN,426.41717413492006
TETUÁN,3.6486830826725054
CHAMBERÍ,1014.5841286385548
FUENCARRAL-EL PARDO,84.45296823726676
MONCLOA-ARAVACA,244.12506184587983
LATINA,501.7694459155209
CARABANCHEL,296.8897972008199
USERA,100.5833953224228
PUENTE DE VALLECAS,-273.8878048629249
MORATALAZ,474.5489072240525
CIUDAD LINEAL,670.8778760732894
HORTALEZA,1733.419956620979
VILLAVERDE,167.04984070026694
VILLA DE VALLECAS,615.9853242568352
VICÁLVARO,-91.10445989945583
SAN BLAS-CANILLEJAS,378.6772907858576
BARAJAS,1700.3634468166238
