,neighborhood,Sexo de la población,De 0 a 14 años,De 15 a 29,De 30 a 44,De 45 a 64,De 65 a 79,De 80 y + ,De 65 y +,Población en etapa educativa (De 3 a 16 años -16 no incluidos-),Proporción de juventud (Población de 0-15 años/Población total),Proporción de envejecimiento (Población > 65 años/Población total),Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años),Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ,Personas con nacionalidad española,Personas con nacionalidad española HOMBRES,Personas con nacionalidad española MUJERES,Personas con nacionalidad extranjera,Personas con nacionalidad extranjera HOMBRES,Personas con nacionalidad extranjera MUJERES,Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE / Población total),1ª nacionalidad extranjera en el Distrito: ITALIA (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: BANGLADESH (% respecto total extranjeros del distrito),Nº total de hogares,Hogares con una mujer sola >65 años,Hogares con un hombre solo >65 años,Hogares monoparentales: una mujer adulta con uno o más menores,Hogares monoparentales: un hombre adulto con uno o más menores,1ª nacionalidad extranjera en el Distrito: Italia (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: China (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Venezuela (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: Filipinas (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Paraguay (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: Rumanía (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: China (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Rumanía  (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Bolivia (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Perú (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Ecuador (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: Francia (% respecto total extranjeros del distrito),1ª nacionalidad extranjera en el Distrito: Rumanía  (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Marruecos  (% respecto total extranjeros del distrito),2ª nacionalidad extranjera en el Distrito: Marruecos (% respecto total extranjeros del distrito)
0,Palacio,0.16994980760818795,0.07769489159359595,0.1464468001570475,0.28517209789294595,0.3021855778039524,0.12655411595340924,0.06194651659904899,0.18850063255245822,0.06565458273349911,0.0832536087053076,0.1885,0.3386,0.373,0.8242376652270645,0.48687413993860484,0.5131258600613952,0.17571871046547136,0.4997517378351539,0.5002482621648461,0.0795,0.12164846077457796,0.003227408142999007,0.16798918212077985,0.09084475895621406,0.03803626713843432,0.013710747456877488,0.0027421494913754977,,,,,,,,,,,,,,,
1,Embajadores,0.3355476308746228,0.08360768024039418,0.16520471066528206,0.34044057535517797,0.2700236417066219,0.09030248127444265,0.050420910758081264,0.14072339203252393,0.06842837888596744,0.088,0.147,0.3583,0.2968,0.7377096268145562,0.4894273391637714,0.5105726608362285,0.26224618307960845,0.5939000758277867,0.40609992417221336,0.1693,0.09116185019799478,0.23793074395484035,0.3282364479315264,0.07189098646385078,0.02924532572773779,0.015211191090588076,0.0026710127212639777,,,,,,,,,,,,,,,
2,Cortes,0.07772777485338929,0.06877146127432278,0.15537962609690958,0.3102823349866463,0.29597481877146126,0.11417397939717665,0.055417779473483406,0.16959175887066005,0.0531285768790538,0.07264267401006552,0.16873991073972083,0.3286,0.3197,0.769172071728348,0.5016121031746031,0.4983878968253968,0.23082792827165205,0.49173553719008267,0.5082644628099173,0.099,0.10867768595041322,0.02024793388429752,0.08033166904422254,0.07047724750277469,0.03718091009988901,0.012763596004439512,0.004069552349241583,,,,,,,,,,,,,,,
3,Justicia,0.1271713584567137,0.07998600827843526,0.16265376319011252,0.2986066577275112,0.29796537048912725,0.10493791173555646,0.05585028857925727,0.16078820031481372,0.06616918323325366,0.085,0.1608,0.3474,0.3254,0.7862181542587302,0.5009639626279104,0.49903603737208957,0.21378184574126974,0.5233160621761658,0.47668393782383417,0.0993,0.10989910008181074,0.0035451322607035723,0.1275261531145982,0.07305989279888138,0.02924726171055698,0.013633185737590306,0.003495688650664181,,,,,,,,,,,,,,,
4,Universidad,0.23520733090650278,0.07590228526398739,0.16532702915681638,0.32554767533490936,0.2703230890464933,0.10575256107171001,0.057147360126083534,0.16289992119779353,0.06171788810086683,0.0803467297084318,0.1629,0.3508,0.3214,0.7842395587076438,0.4885048231511254,0.5114951768488746,0.2157604412923562,0.4986121256391527,0.5013878743608473,0.116,0.10825420014609204,0.0029218407596785976,0.23482822158820732,0.07789660191102955,0.03125988736315889,0.01278238309181801,0.0025311649686768334,,,,,,,,,,,,,,,
5,Sol,0.05439609730058348,0.06651219844623144,0.17745672618236336,0.3010767343600927,0.2844486847485348,0.11666893825814366,0.05383671800463405,0.1705056562627777,0.05547226386806597,0.07026801833078739,0.1705,0.3157,0.3163,0.726318658852392,0.5196096828673297,0.4803903171326703,0.273681341147608,0.48804780876494025,0.5119521912350598,0.137,0.10707171314741036,0.00796812749003984,0.24056407513076558,0.016245598863425782,0.009203780344678485,0.0026561245290011738,0.0007412440546049787,,,,,,,,,,,,,,,
6,Imperial,0.1479945394266398,0.11055960643064218,0.13651937099182992,0.22814723710796803,0.30918914170253886,0.14078011069138188,0.07480453307563911,0.215584643767021,0.09580075551260651,0.1185,0.2156,0.347,0.5017,0.9294562066239128,0.46455576559546313,0.5354442344045368,0.07054379337608714,0.4439601494396015,0.5560398505603985,0.0384,,,0.14818860087685562,0.09633551333956192,0.028547700612477942,0.014740994498079519,0.002387625869407246,0.11892901618929017,0.10211706102117062,,,,,,,,,,,,,
7,Las Acacias,0.2391276083988819,0.09982329753975805,0.15182819083865706,0.22389560962348784,0.29762131303520456,0.15895065923610166,0.06788092972679081,0.2268315889628925,0.08636672556748674,0.1076,0.2268,0.2993,0.5025,0.9299170857686557,0.45879498348291287,0.5412050165170872,0.07005572923746092,0.4846720993403182,0.5153279006596818,0.0407,,,0.23755095761864473,0.09649009195700038,0.027716617018520916,0.01586582048957389,0.0029141302940033672,0.11214590609235545,0.08614668218859138,,,,,,,,,,,,,
8,La Chopera,0.12996814665539883,0.1019356774871205,0.1356474766168159,0.26204171460011005,0.2720952333316661,0.13864852698444455,0.08963137097984294,0.2282798979642875,0.08117841244435553,0.1077,0.2283,0.3926,0.506,0.86670334617116,0.45100415512465375,0.5489958448753463,0.1332966538288401,0.46866791744840525,0.5313320825515947,0.1003,,,0.13206676409506962,0.11869539895165987,0.028654630168899242,0.014443797320908561,0.0030285381479324405,0.04390243902439024,0.075046904315197,,,,,,,,,,,,,
9,Legazpi,0.12775141389845934,0.18573173213922248,0.14013840830449828,0.2774272338693263,0.3100956645634032,0.06518420516995725,0.02142275595359251,0.08660696112354976,0.15687970690006106,0.1965,0.0866,0.2474,0.3949,0.9292184001628333,0.4913750616067028,0.5086249383932971,0.0707815998371667,0.4716031631919482,0.5283968368080517,0.0412,,,0.11734481962925929,0.03277399056109072,0.012191924488725747,0.02556371263765076,0.006423702149973781,0.11071171818835371,0.15815959741193386,,,,,,,,,,,,,
