,district,Nº Total de viviendas (Censo Edificios y Viviendas 2011),Viviendas anteriores a 1980,Estado ruinoso,Estado malo,Estado deficiente,Estado bueno,No consta,Nº Total de viviendas familiares (Censo Edificios y Viviendas 2011),Principal,Secundaria,Desocupada,Otro tipo
0,CENTRO,86795.0,74370.0,330.0,1725.0,7895.0,74970.0,1875.0,91186.0,56424.0,11144.0,21747.0,1871.0
1,ARGANZUELA,76260.0,45920.0,540.0,1885.0,7200.0,65310.0,1320.0,66554.0,51954.0,5905.0,7998.0,697.0
2,RETIRO,56595.0,43185.0,45.0,255.0,445.0,54950.0,900.0,53985.0,44845.0,3156.0,4443.0,1541.0
3,SALAMANCA,83575.0,76295.0,70.0,265.0,1255.0,80955.0,1035.0,79785.0,55055.0,11590.0,11769.0,1371.0
4,CHAMARTÍN,72120.0,59855.0,120.0,175.0,1635.0,69735.0,460.0,68760.0,49798.0,9265.0,8816.0,881.0
5,TETUÁN,80160.0,56530.0,270.0,1130.0,5940.0,72245.0,580.0,76191.0,54242.0,7424.0,12523.0,2002.0
6,CHAMBERÍ,79780.0,72490.0,35.0,370.0,2290.0,76720.0,365.0,79502.0,56820.0,9181.0,12953.0,548.0
7,FUENCARRAL-EL PARDO,99260.0,52650.0,125.0,110.0,1890.0,95455.0,1680.0,82100.0,68082.0,5255.0,7864.0,898.0
8,MONCLOA-ARAVACA,55125.0,38340.0,25.0,215.0,1865.0,52235.0,780.0,53247.0,38848.0,6967.0,7190.0,242.0
9,LATINA,115500.0,95320.0,250.0,810.0,5245.0,107455.0,1735.0,105362.0,89177.0,6020.0,9798.0,367.0
10,CARABANCHEL,115270.0,81365.0,125.0,1035.0,6090.0,103880.0,4135.0,98360.0,78811.0,5866.0,13077.0,606.0
11,USERA,59285.0,35500.0,380.0,370.0,2715.0,54565.0,1255.0,49276.0,41799.0,1930.0,5169.0,378.0
12,PUENTE DE VALLECAS,106585.0,63735.0,470.0,1880.0,9785.0,92170.0,2285.0,95914.0,81021.0,3146.0,11358.0,389.0
13,MORATALAZ,44405.0,34055.0,95.0,0.0,415.0,43755.0,140.0,41819.0,37382.0,1631.0,2614.0,192.0
14,CIUDAD LINEAL,101740.0,75725.0,85.0,260.0,2385.0,97780.0,1230.0,99555.0,81190.0,6965.0,10688.0,712.0
15,HORTALEZA,74930.0,40890.0,120.0,735.0,1600.0,70310.0,2170.0,59635.0,49481.0,4237.0,5511.0,397.0
16,VILLAVERDE,61920.0,40475.0,140.0,1145.0,3655.0,55445.0,1535.0,54624.0,44504.0,2159.0,7903.0,58.0
17,VILLA DE VALLECAS,43520.0,14085.0,40.0,175.0,775.0,41730.0,800.0,23499.0,20234.0,711.0,2472.0,82.0
18,VICÁLVARO,30305.0,13025.0,0.0,75.0,675.0,27550.0,2005.0,23838.0,18679.0,737.0,4260.0,127.0
19,SAN BLAS-CANILLEJAS,67450.0,37290.0,120.0,45.0,2750.0,63645.0,890.0,59920.0,49496.0,1756.0,8303.0,365.0
20,BARAJAS,20370.0,9390.0,40.0,50.0,275.0,19410.0,595.0,15819.0,12464.0,1147.0,1921.0,274.0
