id_district;district;location_type;location_detail;location_name;location_number;greenarea_ZV_roadtrees _AV;species;number_of_trees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Alberto Aguilera (Centro);3;AV;Platanus x hybrida;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Almudena;3;AV;Arbutus unedo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;µngel;6;AV;Acer saccharinum 'Disecta';4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Traves°a;;Arenal;4;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Atocha;12;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Augusto Figueroa;35;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Augusto Figueroa;45;AV;Malus floribunda;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;BailÇn;15;AV;Aesculus hippocastanum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Ballesta;6;AV;Hibiscus syriacus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Ballesta;6;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Barbieri;14;AV;Cercis siliquastrum;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Barcel¢;5;AV;Sophora japonica;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Calatrava;29;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Campillo del Mundo Nuevo;9;AV;Acer pseudoplatanus;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Campillo del Mundo Nuevo;3;AV;Ligustrum japonicum 'Variegata';1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Ca§izares;6;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Costanilla;;Capuchinos;2;AV;Lagerstroemia indica;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Carranza (Centro);27;AV;Platanus x hybrida;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Cascorro;18;AV;Ligustrum japonicum;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Casino;16 B;AV;Celtis australis;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Cava Alta;12;AV;Citrus limon;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Cervantes;14;AV;Pyrus calleryana;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Calle;;Churruca;6;AV;Ligustrum japonicum 'Variegata';1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
